BLZ;Institutsname;BIC;Host;URL;Ver.;PIN-1;PIN-2;DDV-1;DDV-2;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;Ku-ID;Benutzer;iTAN;UseBLZ;Hinweis;InstitutsnameLang;ValidFrom;RAH-7;RAH-9;RAH-10;IconName
10000000;BBk Berlin;MARKDEF1100;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Bundesbank;;;;;
10010010;Postbank Berlin;PBNKDEFFXXX;;https://hbci.postbank.de/banking/hbci.do;3.0;;ja;;;;;;;;;;;;;;Kontonummer;iTAN:mobileTAN~:HHD1.3.2~:HHD1.3.2OPT~:HHD1.4~:HHD1.4OPT~:BestSign~;;;Postbank;;;;;PoBa
10010111;SEB Berlin;ESSEDE5F100;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
10010424;Aareal Bank;AARBDE5W100;;;;;;;;;;;;;;;;;;;;;;;Aareal Bank;;;;;
10011001;N26 Bank Berlin;NTSBDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;N26 Bank;;;;;N26
10019610;Dexia Berlin;DXIADEBBXXX;;;;;;;;;;;;;;;;;;;;;;;Dexia Kommunalbank Deutschland;;;;;
10020200;BHF-BANK Berlin;BHFBDEFF100;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#5 - 1.4:CR#6 - 1.4;;;BHF-BANK;;;;;
10020500;Bank für Sozialwirtschaft;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020510;Sozialbank Berlin;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020520;Sozialbank Berlin;BFSWDE33BER;;;;;;;;;;;;;;;;;;;;;;;Bank für Sozialwirtschaft;;;;;
10020890;UniCredit Bank-HypoVereinbk;HYVEDEMM488;hbci.hypovereinsbank.de;https://hbci-01.hypovereinsbank.de/bank/hbci;3.0;;ja;;;ja;;ja;;ja;;;;ja;ja;;Direct B@nking-Nummer;CR#1;70020270;;UniCredit Bank - HypoVereinsbank;;;ja;ja;Hypo
10030200;Berlin Hyp;BHYPDEB2XXX;;;;;;;;;;;;;;;;;;;;;;;Berlin Hyp;;;;;
10030400;ABK Bank Berlin;ABKBDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;ABK Allgemeine Beamten Bank;;;;;
10030500;Bankhaus Löbbecke Berlin;LOEBDEBBXXX;loebbecke-bank.de;https://loebbecke-bank.de/fints/;3.0;;ja;;;ja;ja;ja;;ja;;;ja;ja;ja;Kunden-ID;Benutzerkennung;eTAN:iTAN:mTAN~;;;Bankhaus Löbbecke;;;;;Loebbecke
10030600;North Channel Bank Mainz;GENODEF1OGK;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;North Channel Bank;;;;;
10030700;Eurocity Bank;DLGHDEB1XXX;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Eurocity Bank;;;;;
10031000;EIS Bank Berlin;EIEGDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;EIS Einlagensicherungsbank;;;;;
10033300;Santander Bank Berlin;SCFBDE33XXX;secure.santanderbank.de;;3.0;;;;;ja;;;;;;;;ja;;;Personennummer;;50033300;;Santander Consumer Bank;;;;;Santander
10040000;Commerzbank Fil. Berlin 1;COBADEBBXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank, Filiale Berlin 1;;;;;CoBa
10040005;Commerzbank Fil. Berlin 3;COBADEBBXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank, Filiale Berlin 3;;;;;CoBa
10040010;Commerzbank CC SP, Berlin;COBADEFFXXX;;;;;;;;;;;;;;;;;;;;;;;Commerzbank, CC SP;;;;;CoBa
10040048;Commerzbank BER GF-B48;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank GF-B48;;;;;CoBa
10040060;Commerzbank Gf 160 Berlin;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank Gf 160;;;;;CoBa
10040061;Commerzbank Gf 161 Berlin;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank Gf 161;;;;;CoBa
10040062;Commerzbank CC Berlin;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank CC;;;;;CoBa
10040063;Commerzbank CC Berlin;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank CC;;;;;CoBa
10040085;Commerzbank Gf WK, Berlin;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank, Gf Web-K;;;;;CoBa
10045050;Commerzbank Service-BZ;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank Service-BZ;;;;;CoBa
10050000;LBB - Berliner Sparkasse;BELADEBEXXX;banking-be3.s-fints-pt-be.de;https://banking-be3.s-fints-pt-be.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Landesbank Berlin - Berliner Sparkasse;;ja;;;Spk
10050005;Landesbank Berlin - E 1 -;BELADEB1DB5;;;;;;;;;;;;;;;;;;;;;;;Landesbank Berlin - E 1 -;;;;;Spk
10050006;Landesbank Berlin - E 2 -;BELADEB1DB6;;;;;;;;;;;;;;;;;;;;;;;Landesbank Berlin - E 2 -;;;;;Spk
10050007;Landesbank Berlin - E 3 -;BELADEB1DB7;;;;;;;;;;;;;;;;;;;;;;;Landesbank Berlin - E 3 -;;;;;Spk
10050008;Landesbank Berlin - E 4 -;BELADEB1DB8;;;;;;;;;;;;;;;;;;;;;;;Landesbank Berlin - E 4 -;;;;;Spk
10050020;LBB S-Kreditpartner, Berlin;SKPADEB1XXX;;;;;;;;;;;;;;;;;;;;;;;LBB S-Kreditpartner, Berlin;;;;;Spk
10050500;LBS Ost Berlin;LBSODEB1BLN;;;;;;;;;;;;;;;;;;;;;;;LBS Ost Berlin;;;;;Spk
10050999;DekaBank;DGZFDEFFBER;;;;;;;;;;;;;;;;;;;;;;;DekaBank;;;;;Spk
10060198;Pax-Bank Berlin;GENODED1PA6;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Pax-Bank;;;;;VoBa
10061006;KD-Bank Berlin;GENODED1KDB;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;;;;;VoBa
10070000;Deutsche Bank Fil Berlin;DEUTDEBBXXX;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Fil Berlin;;;;;DeuBa
10070024;Deutsche Bank PGK Berlin;DEUTDEDBBER;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden F 700;;;;;DeuBa
10070100;Deutsche Bank Fil Berlin II;DEUTDEBB101;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Fil Berlin II;;;;;DeuBa
10070124;Deutsche Bank PGK Berlin II;DEUTDEDB101;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskd Berlin II;;;;;DeuBa
10070848;Deutsche Bank PGK Berlin;DEUTDEDB110;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden F 848;;;;;DeuBa
10077777;norisbank Berlin;NORSDE51XXX;;https://fints.norisbank.de;3.0;;ja;;;;;;;;;;;;;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (431) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 431123456700).;norisbank;;;;;NorisBk
10080000;Commerzbank Fil I Berlin;DRESDEFF100;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Filiale Berlin I;;;;;CoBa
10080005;Commerzbank Berlin Zw A;DRESDEFFI26;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Zw A;;;;;CoBa
10080006;Commerzbank Berlin Zw B;DRESDEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Zw B;;;;;CoBa
10080055;Commerzbank Zw 55 Berlin;DRESDEFF112;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Zw 55;;;;;CoBa
10080057;Commerzbk ZW 57 Berlin;DRESDEFF114;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Gf ZW 57;;;;;CoBa
10080085;Commerzbank ITKG3 Berlin;DRESDEFFI53;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;;;;;CoBa
10080086;Commerzbank ITGK4 Berlin;DRESDEFFI71;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;;;;;CoBa
10080087;Commerzbank ITGK5 Berlin;DRESDEFFI72;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;;;;;CoBa
10080088;Commerzbank IBLZ Berlin;DRESDEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank IBLZ;;;;;CoBa
10080089;Commerzbank ITGK6 Berlin;DRESDEFFI73;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;;;;;CoBa
10080900;Commerzbk Fil III Berlin;DRESDEFF199;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Filiale Berlin III;;;;;CoBa
10089260;Commerzbank ITGK Berlin;DRESDEFFI14;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank ITGK;;;;;CoBa
10089999;Commerzbank ITGK 2 Berlin;DRESDEFFI99;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank ITGK 2;;;;;CoBa
10090000;Berliner VB Berlin;BEVODEBBXXX;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;Berliner Volksbank;;;;;VoBa
10090300;Bk f Schiffahrt BFS Berlin;GENODEF1BSB;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;;;;;VoBa
10090603;apoBank Berlin;DAAEDED1003;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;apoKennung/Alias;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;30060601;Bitte verwenden Sie Ihre 19stellige apoKennung oder Ihren Alias.;apoBank;;;;;ApoBk
10090900;PSD Bank Berlin;GENODEF1P01;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/PSD-Key;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;PSD Bank Berlin-Brandenburg;;;;;PsdBk
10110300;Privatbank Berlin von 1929;MACODEB1XXX;;;;;;;;;;;;;;;;;;;;;;;Privatbank Berlin von 1929;;;;;
10110400;Investitionsbank Berlin;IBBBDEBBXXX;;;;;;;;;;;;;;;;;;;;;;;Investitionsbank Berlin;;;;;
10110600;Quirin Privatbank Berlin;QUBKDEBBXXX;;;;;;;;;;;;;;;;;;;;;;;Quirin Privatbank;;;;;
10120100;Weberbank;WELADED1WBB;banking-bb6.s-fints-pt-bb.de;https://banking-bb6.s-fints-pt-bb.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Weberbank;;ja;;;
10120600;Santander Consumer Bank;SCFBDE33XXX;;;;;;;;;;;;;;;;;;;;;;;Santander Consumer Bank;;;;;Santander
10120800;VON ESSEN Bank Berlin;VONEDE33BLN;;;;;;;;;;;;;;;;;;;;;;;VON ESSEN Bank;;;;;
10130600;Isbank Berlin;ISBKDEFXBER;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#0:CR#1;;;Isbank Fil Berlin;;;;;
10130800;FinTech Group Bank, Ffm.;BIWBDE33XXX;hbcisepa.biw-bank.de;https://konto.biw-bank.de/hbci;3.0;;ja;;;ja;ja;;;ja;;;;;;;Kundennummer;CR#3;;;FinTech Group Bank;;;;;
10220500;Bank of Scotland Berlin;BOFSDEB1XXX;;;;;;;;;;;;;;;;;;;;;;;Bank of Scotland Ndl Berlin;;;;;BoS
10220600;Sydbank Berlin;SYBKDE22BER;sydbank.hbciservice.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;ja;ja;;ja;;;;ja;;Kunden-ID;Benutzerkennung;CR#1:CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Sydbank Filiale Berlin;;;;;
10310600;Tradegate Berlin;TRDADEB1PBK;;;;;;;;;;;;;;;;;;;;;;;Tradegate Wertpapierhandelsbank Berlin;;;;;
11010100;solarisBank;SOBKDEBBXXX;;;;;;;;;;;;;;;;;;;;;;;solarisBank;;;;;
12016836;KfW Berlin;KFWIDEFF100;;;;;;;;;;;;;;;;;;;;;;;KfW Kreditanstalt für Wiederaufbau;;;;;
12030000;Deutsche Kreditbank Berlin;BYLADEM1001;banking-dkb.s-fints-pt-dkb.de;https://banking-dkb.s-fints-pt-dkb.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename;iTAN:smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie nur den Anmeldenamen und nicht Ihre Legitimations-ID! Für pushTAN ist ein spezieller Anmeldename erforderlich.;Deutsche Kreditbank Berlin;;ja;;;Dkb
12030900;Merck Finck Privatbankiers;MEFIDEMM100;merckfinck.hbciservice.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#1;;;Merck Finck Privatbankiers;;;;;
12040000;Commerzbank Fil. Berlin 2;COBADEBB120;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank Filiale Berlin 2;;;;;CoBa
12050555;ZVA NORD LB Gf SA;NOLADE21DVS;;;;;;;;;;;;;;;;;;;;;;;ZVA Norddeutsche Landesbank Gf SA;;;;;Spk
12060000;DZ BANK;GENODEFF120;hbci01.fiducia.de;https://hbci11.fiducia.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-NetKey;MTAN2:HHD1.4:HHD1.4OPT:SECUREGO:MS1.0.0;;;DZ BANK;;;;;VoBa
12070000;Deutsche Bank Ld Brandenbg;DEUTDEBB160;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Ld Brandenburg;;;;;DeuBa
12070024;Deutsche Bank PGK Brandenbg;DEUTDEDB160;hbci.deutsche-bank.de;https://fints.deutsche-bank.de/;3.0;;ja;;;ja;;;;;;;;ja;ja;;Benutzerkennung;ITAN:MTAN:MS1.0.0;;Die Benutzerkennung setzt sich aus der 3stelligen Filialnummer (z.B. 555) plus der 7stelligen Hauptkontonummer (z.B. 1234567) plus der 2stelligen Unterkontonummer (z.B. 00) zusammen (z.B. 555123456700). Der Übertragungsweg HBCI+ muss vor der ersten Verwendung im Internetbanking unter Service / Optionen im Unterpunkt Weitere Services aktiviert werden.;Deutsche Bank Privat und Geschäftskunden;;;;;DeuBa
12070070;Deutsche Bank (Gf intern);DEUTDEFFVAC;;;;;;;;;;;;;;;;;;;;;;;Deutsche Bank (Gf intern);;;;;DeuBa
12070088;Deutsche Bank (Gf intern);DEUTDEDBPAL;;;;;;;;;;;;;;;;;;;;;;;Deutsche Bank (Gf intern);;;;;DeuBa
12080000;Commerzbank Fil II Berlin;DRESDEFF120;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank vormals Dresdner Bank Filiale Berlin II;;;;;CoBa
12090640;apoBank -ZV-Ost- Berlin;DAAEDED1040;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;apoKennung/Alias;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;30060601;Bitte verwenden Sie Ihre 19stellige apoKennung oder Ihren Alias.;apoBank;;;;;ApoBk
12096597;Sparda-Bank Berlin;GENODEF1S10;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;3.0;;ja;;;;;;;;;;;;;;Kundennummer;iTAN:mobileTAN:HHD1.4OPT:Manuell;;;Sparda-Bank Berlin;;;;;Sparda
13000000;BBk Rostock;MARKDEF1130;hbciserver.bankverlag.de;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;3.0;ja;ja;;;ja;;ja;;ja;;;;;;Kunden-ID;Benutzerkennung;CR#3:CR#5 - 1.4:CR#6 - 1.4;;;Bundesbank;;;;;
13010111;SEB Rostock;ESSEDE5F130;;;;;;;;;;;;;;;;;;;;;;;SEB;;;;;
13040000;Commerzbank Rostock;COBADEFFXXX;hbci.commerzbank.de;;3.0;;;;;ja;ja;ja;;ja;;;ja;ja;ja;;Benutzerkennung;;;;Commerzbank;;;;;CoBa
13050000;Ostseesparkasse Rostock;NOLADE21ROS;banking-mv6.s-fints-pt-mv.de;https://banking-mv6.s-fints-pt-mv.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Ostseesparkasse Rostock;;ja;;;Spk
13051042;Spk Vorpommern auf Rügen;NOLADE21RUE;banking-mv6.s-fints-pt-mv.de;https://banking-mv6.s-fints-pt-mv.de/fints30;3.0;;ja;ja;;;;;;;;;;;;;Anmeldename od. Leg.-ID;smsTAN~:HHD1.3.0:HHD1.3.0OPT:pushTAN~;15050500;Bitte verwenden Sie bevorzugt Ihre Legitimations-ID. Diese erfahren Sie im Internetbanking oder bei Ihrer Sparkasse.;Sparkasse Vorpommern auf Rügen;;;;;Spk
13061008;Volksbank Wolgast;GENODEF1WOG;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volksbank Wolgast;;;;;VoBa
13061028;Volksbank Raiffeisenbank;GENODEF1GW1;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volksbank Raiffeisenbank ehem VB Greifswald;;;;;VoBa
13061078;VB u Raiffbk;GENODEF1HWI;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Volks- und Raiffeisenbank;;;;;VoBa
13061088;VB u Raiffbk -alt-;GENODEF1HWR;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Raiffeisenbank Wismar -alt-;;;;;VoBa
13061128;Raiffeisenbank Bad Doberan;GENODEF1DBR;hbci.gad.de;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;3.0;;ja;;;;;;;;;ja;;ja;ja;;Alias/VR-Kennung;MTAN2:SM@RTTANPLUS2:SECURESIGN:HHD1.3.1:HHD1.3.2OPT:HHD1.4:HHD1.4OPT:MS1.0.0;;Die VR-Kennung finden Sie im Internetbanking unter Service und Verwaltung.;Raiffeisenbank;;;;;VoBa
